Date,walk_forward,fixed_6_30,hindsight_20_200,nifty100
2021-08-05,3385981.146291574,1333889.225157227,4790591.587121289,2869608.903542569
2021-08-06,3384209.5585298897,1327149.6206291905,4766020.416121193,2861963.5785155892
2021-08-09,3369485.0747673423,1298413.79544457,4765847.21134472,2863309.292070337
2021-08-10,3354775.5428017806,1275505.8154120871,4788529.454925588,2865085.635829786
2021-08-11,3338549.4266330525,1284837.3438345785,4762370.813910911,2864463.5383950653
2021-08-12,3326432.4236764098,1297852.2402545675,4785269.121494173,2878459.6563573126
2021-08-13,3322091.9614614053,1292061.5906709356,4837050.084768705,2903939.788023183
2021-08-16,3301888.6267392035,1301866.54585155,4813740.516197948,2909441.6872328436
2021-08-17,3308992.3063777382,1320134.8097100698,4870687.693421179,2919538.6924501187
2021-08-18,3332602.4015445923,1314788.897118368,4885576.35778487,2914966.198487605
2021-08-20,3300725.981305324,1281727.13367842,4846366.12383405,2891191.7935016747
2021-08-23,3290800.914360018,1272177.1722624248,4864174.33511694,2896701.549555935
2021-08-24,3327380.9097732245,1301472.2984387504,4885376.533070873,2920063.985636545
2021-08-25,3338717.4500360787,1293148.8059811834,4881186.650201557,2923877.3864438017
2021-08-26,3340211.0866248915,1289393.5054170925,4887205.273317656,2925850.3495936673
2021-08-27,3375153.836267531,1303145.7510520988,4918359.612732706,2941333.6987138623
2021-08-30,3427494.7769973166,1324631.1133619503,4993309.932874192,2981848.605469537
2021-08-31,3466883.315480289,1351505.119676019,5047049.55420158,3018108.405377617
2021-09-01,3458204.1019662106,1363598.8161726035,5014852.845263791,3012904.6852606256
2021-09-02,3506218.9618390994,1378499.2966220484,5056593.582195913,3041145.2301896447
2021-09-03,3491595.089257665,1376971.3952429334,5058113.625957574,3057249.3551146123
2021-09-06,3510105.062913337,1376546.5653015836,5079741.53226363,3064781.3011108297
2021-09-07,3510194.083795824,1369298.5446609713,5060959.208441142,3060880.9744483484
2021-09-08,3499938.729643799,1366832.9392010916,5046304.186796449,3063265.7465819516
2021-09-09,3489991.487109943,1355633.212457731,5034116.23332216,3067873.5236331364
2021-09-13,3481887.7995075453,1364584.1660136846,5050216.650276821,3067091.8833787558
2021-09-14,3507424.629957778,1367890.7389207075,5058832.563979729,3072254.619992627
2021-09-15,3528522.4498361605,1373488.4304440052,5086212.321970419,3094994.4783594133
2021-09-16,3534556.3576857317,1384969.2376543067,5080256.2984738145,3115093.6178128025
2021-09-17,3510041.346327348,1382726.562344296,5062464.572228716,3104545.4300091625
2021-09-20,3474097.961621273,1361658.4349100147,5022094.636994837,3067942.390240143
2021-09-21,3503881.2198250866,1374106.7983881093,5072116.235782276,3096387.0016456186
2021-09-22,3503990.102369707,1372227.136517158,5072725.698749828,3096309.880099419
2021-09-23,3520452.4139728057,1401864.7159848616,5110889.739577754,3142866.3263775813
2021-09-24,3481998.0047851955,1389492.3387521976,5105764.079864704,3143603.4291448034
2021-09-27,3462227.211940618,1372231.8999668525,5030016.894463822,3142762.8254421945
2021-09-28,3441737.0239105024,1354872.9994571812,4973653.001489714,3123358.3848165176
2021-09-29,3440021.7962357076,1353152.696633351,4999111.503234669,3115138.363668936
2021-09-30,3420016.262806122,1348551.8688189255,4979567.1495546475,3101042.4089409406
2021-10-01,3426124.187107891,1339981.9937168013,4978916.253149201,3089452.9251628006
2021-10-04,3480044.514691166,1369982.7758960896,5059671.970219294,3120386.373014366
2021-10-05,3470757.5319670816,1379879.46757648,5048504.268114576,3142254.9746060357
2021-10-06,3413439.1772211464,1374876.7647563375,5002309.383866281,3111473.500618455
2021-10-07,3435737.484084366,1376099.9074329236,5031104.088962562,3137886.3648081417
2021-10-08,3425613.3144684997,1377605.2492346873,5036809.656276448,3152400.1851048404
2021-10-11,3431986.132098505,1384887.132035773,5038014.405363482,3162305.61969191
2021-10-12,3439865.6841062987,1394313.487941598,5018801.614491523,3172690.338235354
2021-10-13,3460526.9678654335,1400550.0524812667,5079517.501476883,3202953.2482400737
2021-10-14,3522063.1330844476,1409578.8047556318,5115099.838342049,3233959.9296461837
2021-10-18,3535484.575480377,1416637.1309137666,5104679.440489014,3255571.3601281815
2021-10-19,3458710.1665628604,1405899.2514353034,5072830.174619499,3240112.7962832497
2021-10-20,3426092.021456686,1364764.3517977411,5023087.152078327,3209077.4769191407
2021-10-21,3431771.6989522087,1356773.7518720091,5003596.708798713,3193150.8245156743
2021-10-22,3395132.522064032,1361194.365391967,4937007.277373692,3177660.2293464714
2021-10-25,3421920.526765656,1343269.4145638186,4892746.721490543,3175435.4127986776
2021-10-26,3440134.5936359945,1373878.1444167192,4924886.673980017,3204485.373102434
2021-10-27,3460166.300585315,1371217.5321869,4989257.665281985,3198371.8902090923
2021-10-28,3388816.8962126207,1352816.1112435698,4922248.45911782,3135451.5295649655
2021-10-29,3423743.7691825423,1346823.4639191013,4920806.283660895,3109836.100860392
2021-11-01,3452956.7699287515,1349773.4132233972,5010129.705957835,3154028.3153786296
2021-11-02,3441055.426513444,1346203.0138633882,4997105.977550256,3148479.748026613
2021-11-03,3431230.136538943,1335056.2361173667,4975613.584131717,3142530.016798769
2021-11-04,3449719.743470685,1347317.2364678208,5001292.709781527,3158007.9462708877
2021-11-08,3431794.7367046676,1343846.4110719806,4995762.980381114,3186641.2599107316
2021-11-09,3450614.953228907,1349078.8036100597,4987139.673462628,3184821.8067250815
2021-11-10,3431845.745882558,1334876.610429767,4979926.970549312,3181782.724422221
2021-11-11,3391753.7564817616,1324608.0874900671,4933162.280099616,3158931.296059408
2021-11-12,3430492.1382714286,1348024.59684809,4984492.780175404,3199389.0768553806
2021-11-15,3448886.9377921904,1366391.518283732,5017476.485432363,3201465.493540926
2021-11-16,3402648.756793832,1366809.8960214525,4957933.139590782,3184002.844452362
2021-11-17,3367771.6228869106,1377920.0256740467,4912670.435922274,3168309.69662397
2021-11-18,3389336.585993199,1370019.5433951854,4882488.729748902,3141860.347831317
2021-11-22,3346230.835537161,1342710.6299746623,4811042.907665231,3081475.150681234
2021-11-23,3371011.935849262,1348258.1855803798,4846447.935811015,3101447.5767753394
2021-11-24,3364406.2792641227,1345546.1175041976,4784496.503924553,3085668.476337107
2021-11-25,3380996.04551528,1352217.6712401102,4832842.759167814,3108022.6124812495
2021-11-26,3355881.8181151906,1326143.3294257661,4808235.560252322,3017308.105493261
2021-11-29,3336469.574311495,1321274.8084029907,4808485.879846687,3017045.088464135
2021-11-30,3322548.2645779327,1323454.144646371,4824689.965878906,3005029.255250839
2021-12-01,3295551.6923245504,1316937.6071933897,4774367.088470566,3035305.388432222
2021-12-02,3298448.696185158,1328031.2607279113,4820988.881718432,3075388.425099215
2021-12-03,3294750.199456743,1310172.3070597234,4790652.298879498,3043818.4612168246
2021-12-06,3243280.1175592407,1279209.6212289028,4680295.632334968,2992246.553873499
2021-12-07,3260822.4984619888,1288092.1887873572,4714208.482789688,3038750.448821614
2021-12-08,3283719.376076458,1298243.9203994744,4778337.168013275,3088645.593263332
2021-12-09,3289633.017307176,1297020.8290858425,4771798.493919852,3096608.0241174744
2021-12-10,3290843.6741853356,1305066.6463394533,4754333.063262419,3097404.7699394342
2021-12-13,3280011.5918761115,1296018.353824337,4735931.028378573,3073408.3885288313
2021-12-14,3308931.812240982,1304736.7797939458,4750672.339562782,3068653.8967770194
2021-12-15,3283687.80808142,1294177.7316420672,4739826.414554608,3049253.768825415
2021-12-16,3265840.3484246754,1285785.2604091752,4742249.079244303,3051475.5272004786
2021-12-17,3170117.2216763454,1251810.3732261893,4721625.9638275085,3001552.486468081
2021-12-20,3088266.31324938,1226272.4400315785,4647924.699784381,2933165.6103780586
2021-12-21,3129463.958451274,1233607.3451413559,4694559.290568139,2964733.032174089
2021-12-22,3171464.4803080675,1237500.602460958,4763210.285991538,2999470.571648157
2021-12-23,3164790.1052041133,1240640.0227232496,4765062.145224138,3021700.643573942
2021-12-24,3157964.8009491526,1238202.8416377865,4758234.627353673,3006525.491971083
2021-12-27,3168947.3168401876,1241966.7295176974,4766561.099000604,3020093.019503425
2021-12-28,3184194.186976647,1249242.5933555015,4820643.148483874,3046165.3578304206
2021-12-29,3185891.290599156,1254686.879600055,4849188.868331292,3042137.115031198
2021-12-30,3178257.305994508,1261981.792944505,4852095.95528592,3037227.2858286058
2021-12-31,3205571.6308980426,1264643.410494038,4890813.872071727,3066702.191308377
2022-01-03,3255394.2516132635,1278576.1385245228,4922537.984768851,3111087.7571484176
2022-01-04,3255818.3715318483,1282185.6498480397,4905971.1471288325,3138377.0999412355
2022-01-05,3257758.9455246963,1272332.7321076973,4872650.518866137,3158634.031838608
2022-01-06,3252235.565278772,1267708.1461646904,4830586.264892224,3130425.159886495
2022-01-07,3271440.7311108047,1266784.8565352121,4844758.260675422,3142290.553754375
2022-01-10,3321332.83772251,1265320.2139170766,4878100.986887618,3172743.5418883753
2022-01-11,3314550.6181107387,1270509.4918567832,4911347.406748442,3180720.5198288886
2022-01-12,3328605.108905726,1271983.475178273,4929107.828464564,3207688.5299399006
2022-01-13,3342640.068917949,1278909.1355680686,4957236.09309146,3216739.839194168
2022-01-14,3354996.3538659895,1273445.2775121247,4954788.736788383,3217270.45060483
2022-01-17,3308133.412125359,1273814.2997983675,4936865.162263549,3227273.1995359776
2022-01-18,3211947.5280763656,1257997.134240243,4818838.010656537,3190429.0549819903
2022-01-19,3204525.9880869477,1247566.8695952306,4797860.310920789,3164193.2844666815
2022-01-20,3225054.524512006,1236020.0774442595,4765905.8715834385,3136958.697368726
2022-01-21,3163984.881709004,1232497.2749530056,4675157.633275827,3108267.3534869216
2022-01-24,3048534.330622336,1223532.6262583982,4555482.351666109,3020726.6987332576
2022-01-25,3089096.5401477846,1231089.8424961152,4599406.387447194,3044322.7100586067
2022-01-27,3070597.562403026,1222179.3195956007,4563474.762825972,3011769.6302087116
2022-01-28,3105401.7652867534,1224038.5620778364,4586644.109318749,3013894.4700392117
2022-01-31,3147684.1821868694,1226584.4201843871,4626889.492720698,3054366.391750796
2022-02-01,3196330.00169419,1226562.7950549517,4716979.629919679,3097656.636047722
2022-02-02,3243885.8795103147,1225827.9191459133,4763591.429452936,3132908.279383362
2022-02-03,3231754.2445575735,1220020.2760478992,4719449.062289981,3098018.620650526
2022-02-04,3218362.769427811,1212699.1626032346,4711994.532860254,3091243.320977639
2022-02-07,3198723.9141543633,1198414.4284889535,4688427.327811727,3042871.1424475433
2022-02-08,3198348.7146174754,1198520.743707002,4680639.079875906,3048472.274025245
2022-02-09,3229277.7523140586,1210716.4839041932,4766955.723043461,3083532.0761397495
2022-02-10,3236932.6059587942,1223721.9762792934,4792275.63651434,3107221.493542168
2022-02-11,3186927.8257733593,1205711.5449608793,4700589.214856516,3066037.2941959254
2022-02-14,3124594.9106435985,1157563.2024114649,4546464.830805284,2972543.270619096
2022-02-15,3178750.3116606665,1164812.3832451084,4682095.909869254,3059601.5557063003
2022-02-16,3157884.505981197,1163290.1060997266,4653569.129193037,3055012.089044178
2022-02-17,3128823.527268919,1155362.169746699,4618218.149084727,3054122.8725610212
2022-02-18,3101484.846651094,1143832.4402971817,4617555.330901525,3045121.459118245
2022-02-21,3054817.2454544995,1131980.7169620267,4595546.468926442,3029601.403506881
2022-02-22,3066593.2269819886,1125495.7005501154,4583227.140507557,3011683.7700540274
2022-02-23,3051319.106589126,1116474.604123223,4583624.8581234375,3011121.878961303
2022-02-24,2900030.3531483384,1068153.9783019247,4425393.447370944,2863718.8735670396
2022-02-25,2993253.1994482907,1083458.072420346,4524685.342169176,2941140.3629485187
2022-02-28,3009851.9095261362,1081119.1671917704,4560163.383085935,2966250.8978367085
2022-03-02,2972144.607414564,1081022.1097104822,4572506.149793568,2938182.648077744
2022-03-03,2949485.6777286227,1076489.1270405734,4601595.585215719,2921749.0373507594
2022-03-04,2880665.101354561,1048052.2415137067,4571256.057912978,2873133.1218951545
2022-03-07,2836889.8922606837,1046349.1651997303,4574220.863472981,2804095.418300089
2022-03-08,2868697.833465242,1052496.834156805,4630782.839884313,2832772.13915559
2022-03-09,2881722.399093852,1060521.434531253,4662104.444042694,2889094.0147726554
2022-03-10,2892816.151866799,1063017.6281676372,4661164.765900477,2935079.318630723
2022-03-11,2934047.9385568555,1075316.185619502,4691221.705019343,2942408.362001241
2022-03-14,2914851.865949112,1078077.300796985,4692441.147039207,2977051.368981873
2022-03-15,2871125.650487188,1047778.559598429,4629305.8648709925,2941604.973477005
2022-03-16,2905978.0041728867,1063577.699859405,4698673.361400632,2998173.0428357716
2022-03-17,2898582.4825030845,1067039.2378428858,4685702.526164328,3051736.4914913913
2022-03-21,2915668.529230692,1068010.532891497,4651657.683719449,3020331.1970031406
2022-03-22,2917796.916186769,1070543.4647282932,4678857.32544855,3050911.1141613447
