symbol,qty,entry_date,entry_price,exit_date,exit_price,gross_pnl,charges,dividends,net_pnl,holding_days,exit_reason
ACC,56,2019-12-05,1516.6822744750975,2019-12-09,1480.2900000000002,-2037.967370605451,202.18844419054113,0.0,-2240.155814795992,4,bear_cross
PVRINOX,48,2019-11-28,1745.3764855957031,2019-12-12,1700.4304083251955,-2157.4117089843676,199.49234653284446,0.0,-2356.904055517212,14,bear_cross
APOLLOHOSP,52,2019-12-09,1469.665,2019-12-12,1391.5125,-4063.9299999999957,181.14992768938004,0.0,-4245.079927689376,3,bear_cross
ADANIENT,503,2019-10-17,160.1995030593872,2020-01-02,207.48000000000002,23782.08996112824,219.2878125488966,0.0,23562.802148579343,77,bear_cross
TITAN,70,2019-12-16,1191.5214239501952,2020-01-06,1159.095,-2269.849676513661,198.54902568479042,0.0,-2468.3987021984517,21,bear_cross
KOTAKBANK,228,2019-11-29,322.805,2020-01-08,330.1126524353028,1666.1447552490317,180.8136083524439,0.0,1485.3311468965878,40,bear_cross
BIOCON,338,2019-10-10,233.58249999999998,2020-01-10,282.2925,16463.98000000001,208.07070799449997,0.0,16255.909292005512,92,bear_cross
AUROPHARMA,184,2019-12-12,449.2202561187744,2020-01-13,458.85,1771.872874145517,201.07338497880238,0.0,1570.7994891667147,32,bear_cross
JSWSTEEL,70,2019-10-31,236.28924694061277,2020-01-28,260.14798782348635,1670.1118618011503,53.87152471061438,0.0,1616.240337090536,89,bear_cross
TATASTEEL,1989,2019-12-13,43.132564029693604,2020-01-29,45.16679878234864,4046.092923030871,210.40555285648682,0.0,3835.6873701743843,47,bear_cross
ADANIPORTS,221,2020-01-06,388.96999999999997,2020-02-03,363.09000000000003,-5719.479999999987,200.65668945556,0.0,-5920.136689455547,28,bear_cross
SAMMAANCAP,121,2020-01-29,290.2458999633789,2020-02-04,231.18089893341065,-7146.865124626161,86.0606491424304,0.0,-7232.925773768591,6,bear_cross
SUNPHARMA,186,2020-01-08,444.0573872375489,2020-02-05,428.42625000000004,-2907.391526184085,196.08147649593016,0.0,-3103.4730026800153,28,bear_cross
FEDERALBNK,833,2020-01-02,88.7713780593872,2020-02-07,92.7675,3328.7695765304584,183.31047495814028,0.0,3145.459101572318,36,bear_cross
ACC,56,2020-01-10,1498.7375,2020-02-07,1487.2725,-642.0399999999954,201.40085764336004,0.0,-843.4408576433555,28,bear_cross
MUTHOOTFIN,43,2020-02-05,772.9275,2020-02-10,760.095,-551.7974999999992,88.711152179305,0.0,-640.5086521793042,5,bear_cross
BHARATFORG,171,2020-02-11,493.43051223754884,2020-02-13,481.4932621765138,-2041.269760436995,200.94448584237813,0.0,-2242.214246279373,2,bear_cross
BATAINDIA,48,2019-12-12,1722.1446005249022,2020-02-19,1795.749375,3533.0291748046984,202.9146883673019,0.0,3330.114486437397,69,bear_cross
GAIL,986,2020-02-14,86.88333078384399,2020-02-19,79.80000000000001,-6984.164152870161,198.68747605370297,4206.933662,-2975.917966923864,5,bear_cross
BAJAJ-AUTO,25,2020-02-04,3278.1749999999997,2020-02-20,3083.2725,-4872.562499999993,192.61825137962498,0.0,-5065.1807513796175,16,bear_cross
BAJAJFINSV,88,2020-02-11,966.7608505249024,2020-02-26,943.13625,-2078.9648461914067,202.45904983603677,0.0,-2281.4238960274433,15,bear_cross
INDIGO,14,2020-02-19,1478.6875,2020-02-27,1376.5500000000002,-1429.9249999999975,59.91381094495001,0.0,-1489.8388109449475,8,bear_cross
ASIANPAINT,44,2020-02-04,1874.675,2020-03-02,1810.5622256469726,-2820.962071533204,195.92869220961904,0.0,-3016.890763742823,27,bear_cross
AXISBANK,114,2020-02-28,720.6972744750976,2020-03-02,707.5267378234863,-1501.4411782836899,196.5718135996234,0.0,-1698.0129918833134,3,bear_cross
HDFCAMC,47,2020-02-07,1676.6812499999999,2020-03-03,1524.18,-7167.558749999991,183.2284581106225,0.0,-7350.787208110613,25,bear_cross
VOLTAS,117,2020-02-24,723.1032377624512,2020-03-03,675.3075,-5592.101318206785,197.76466553157667,0.0,-5789.865983738362,8,bear_cross
BHARTIARTL,213,2019-11-18,389.67387321472165,2020-03-05,511.8824308776856,26030.422782211317,227.0047030395107,0.0,25803.418079171806,108,bear_cross
BAJFINANCE,202,2020-01-29,425.5512152099609,2020-03-05,429.9225,882.9995275879007,207.50386195108496,202.0,877.4956656368158,36,bear_cross
DABUR,177,2020-01-14,482.15238723754885,2020-03-12,476.30625000000003,-1034.7662910461406,204.13414704206093,0.0,-1238.9004380882016,58,bear_cross
HAVELLS,130,2020-02-27,648.6175,2020-03-13,531.16875,-15268.337499999987,187.09729473077502,0.0,-15455.434794730761,15,bear_cross
POWERGRID,755,2020-03-09,104.26629468917847,2020-03-13,91.34608228683472,-9754.760363769532,180.3598953031788,0.0,-9935.120259072712,4,bear_cross
BIOCON,264,2020-03-11,303.7575,2020-03-16,269.325,-9090.18,184.32187213468,0.0,-9274.50187213468,5,bear_cross
MFSL,151,2020-02-24,556.2872744750977,2020-03-16,399.9975,-23599.755945739747,177.74029674197703,0.0,-23777.496242481724,21,bear_cross
DIVISLAB,25,2019-11-21,1767.9589239501952,2020-03-17,1887.2700000000002,2982.7769012451254,116.76875639180014,400.0,3266.008144853325,117,bear_cross
ASIANPAINT,42,2020-03-12,1869.6123260498046,2020-03-17,1694.7525,-7344.112694091789,182.42168283690074,0.0,-7526.53437692869,5,bear_cross
YESBANK,1223,2020-03-19,61.8041265296936,2020-03-30,27.580874619483954,-41855.03708618639,140.08496715401847,0.0,-41995.12205334041,11,bear_cross
HINDUNILVR,30,2020-04-01,2298.9329510498046,2020-05-06,2044.8250762939454,-7623.236242675777,160.87241748316126,0.0,-7784.108660158939,35,bear_cross
DABUR,109,2020-04-13,487.11474388122554,2020-05-11,448.875,-4168.132083053583,129.1434760727103,0.0,-4297.275559126294,28,bear_cross
BAJAJFINSV,129,2020-05-07,468.9694877624512,2020-05-12,451.6679878234864,-2231.8934921264604,147.61921407690738,0.0,-2379.512706203368,5,bear_cross
NESTLEIND,92,2020-04-07,780.696875,2020-05-18,819.9948628234864,3615.4148797607522,178.88580046810307,0.0,3436.5290792926494,41,bear_cross
DRREDDY,112,2020-04-03,618.5425,2020-05-19,738.1799542236329,13399.39487304688,183.3683796067881,0.0,13216.026493440091,46,bear_cross
BIOCON,221,2020-04-09,334.835,2020-05-19,333.165,-369.06999999999096,179.589953218,0.0,-548.659953217991,40,bear_cross
TECHM,134,2020-05-14,533.7310244750977,2020-05-19,508.725,-3350.807279663087,170.98231161851567,0.0,-3521.7895912816025,5,bear_cross
SUNPHARMA,166,2020-04-09,455.5359938812256,2020-05-20,438.80024391174317,-2778.1344949340805,180.69594957888205,0.0,-2958.8304445129625,41,bear_cross
IGL,333,2020-04-09,221.05124999999998,2020-05-21,228.3776219558716,2439.68186130525,181.6394993148042,0.0,2258.042361990446,42,bear_cross
NTPC,790,2020-05-20,90.1247515296936,2020-05-21,91.91962652206422,1417.9512439727923,175.2143878014266,0.0,1242.7368561713656,1,bear_cross
WIPRO,780,2020-05-20,92.73124999999999,2020-05-22,94.28868902206422,1214.8024372100995,177.52172960167638,0.0,1037.280707608423,2,bear_cross
YESBANK,98,2020-05-11,27.318125,2020-05-27,27.381375761032107,6.19857458114663,21.302644285576932,0.0,-15.104069704430302,16,bear_cross
DLF,246,2020-05-18,138.84625,2020-05-27,137.15625,-415.73999999999944,90.89978240569,0.0,-506.63978240568946,9,bear_cross
DMART,31,2020-04-09,2398.6315270996092,2020-06-02,2303.3273474121097,-2954.4295703124853,177.70668739433603,0.0,-3132.1362577068217,54,bear_cross
COALINDIA,29,2020-06-02,149.52286888122558,2020-06-22,136.906875,-365.86382255554133,24.607598591177887,0.0,-390.4714211467192,20,bear_cross
ITC,400,2020-05-27,185.82459377288816,2020-06-23,178.07817913055422,-3098.5658569335783,177.4954436370407,0.0,-3276.061300570619,27,bear_cross
CIPLA,154,2020-04-07,480.1975,2020-07-02,628.4250000000001,22827.03500000001,203.54667376819003,0.0,22623.48832623182,86,bear_cross
UNITDSPR,132,2020-05-19,554.3323872375488,2020-07-02,598.9987500000001,5895.959884643569,184.25016997923493,0.0,5711.709714664335,44,bear_cross
COALINDIA,43,2020-06-23,145.3123719406128,2020-07-03,134.06399391174318,-483.6802552413932,28.73981368133441,0.0,-512.4200689227276,10,bear_cross
DLF,537,2020-05-28,137.1921311187744,2020-07-06,152.6175,8283.423089218151,187.84001050849386,0.0,8095.583078709658,39,bear_cross
LUPIN,102,2020-04-09,735.2335244750976,2020-07-07,873.3611128234863,14089.014011535648,196.8031772112092,0.0,13892.21083432444,89,bear_cross
INDUSTOWER,358,2020-07-08,222.05374999999998,2020-07-09,218.80163108825684,-1164.258570404044,190.99416063042142,0.0,-1355.2527310344651,1,bear_cross
ZYDUSLIFE,61,2020-07-09,362.0027561187744,2020-07-13,357.0052439117432,-304.8482446289036,64.15242122854599,0.0,-369.0006658574496,4,bear_cross
ASHOKLEY,3038,2020-07-09,26.315624999999997,2020-07-16,24.613311738967898,-5171.627687015517,187.84167536514894,0.0,-5359.469362380666,7,bear_cross
SUNPHARMA,160,2020-07-14,501.25,2020-07-27,483.63788108825685,-2817.9390258789044,190.8465755469191,0.0,-3008.7856014258236,13,bear_cross
BHARTIARTL,141,2020-07-07,569.7504138183593,2020-07-28,546.8368789672852,-3230.8084140014525,190.71818559765973,0.0,-3421.526599599112,21,bear_cross
GAIL,172,2020-07-27,66.96700305938721,2020-07-28,65.23650152206422,-297.6462644195549,40.657326605230125,0.0,-338.303591024785,1,bear_cross
GODREJCP,129,2020-05-20,557.39,2020-07-29,665.3325,13924.582499999999,189.756792360715,0.0,13734.825707639284,70,bear_cross
ONGC,1064,2020-07-29,79.99950305938721,2020-07-30,79.80000000000001,-212.271255187978,204.49460960843777,0.0,-416.76586479641577,1,bear_cross
RBLBANK,417,2020-07-28,178.69562499999998,2020-07-31,168.57750000000001,-4219.258124999985,176.74717554898373,0.0,-4396.005300548969,3,bear_cross
BIOCON,210,2020-05-28,355.68698776245117,2020-08-03,410.7704878234864,11567.5350128174,193.5209327372353,0.0,11374.014080080166,67,bear_cross
JUBLFOOD,237,2020-07-31,354.885,2020-08-03,343.1599390411377,-2778.839447250362,199.58113565332582,0.0,-2978.420582903688,3,bear_cross
HDFCLIFE,131,2020-06-22,526.2623872375488,2020-08-14,598.5,9463.127271881114,178.53647354060476,0.0,9284.59079834051,53,bear_cross
BPCL,412,2020-07-17,202.75562499999998,2020-08-19,201.9438719558716,-334.44225418089275,200.8434243966692,0.0,-535.285678577562,33,bear_cross
WIPRO,785,2020-05-26,94.73625,2020-08-27,136.15875,32516.6625,214.52770225795,0.0,32302.134797742052,93,bear_cross
ESCORTS,65,2020-08-19,1172.3235244750977,2020-08-28,1162.0375762939454,-668.5866317748935,184.17936815041887,0.0,-852.7659999253124,9,bear_cross
APOLLOHOSP,56,2020-07-08,1430.5674999999999,2020-09-02,1683.4807012939455,14163.139272460952,208.2665751454466,0.0,13954.872697315506,56,bear_cross
HCLTECH,134,2020-07-08,596.2368749999999,2020-09-04,693.4121493530274,13021.486763305682,206.6015723790689,268.0,13082.885190926612,58,bear_cross
TORNTPHARM,53,2020-08-04,1382.94875,2020-09-07,1388.2207012939455,279.4134185791088,178.70031679931947,0.0,100.71310177978931,34,bear_cross
SUNPHARMA,165,2020-07-31,515.535625,2020-09-08,510.72,-794.5781249999925,203.76572429869375,165.0,-833.3438492986862,39,bear_cross
SAMMAANCAP,440,2020-08-28,198.82916156768798,2020-09-08,172.76326789855958,-11468.993214416496,198.0792996519267,0.0,-11667.072514068423,11,bear_cross
GLENMARK,184,2020-08-04,455.08488723754886,2020-09-11,469.6229878234864,2675.010507812513,204.41108248950093,0.0,2470.599425323012,38,bear_cross
CHOLAFIN,19,2020-08-14,226.91588111877437,2020-09-15,233.91375000000002,132.95950874328747,25.069991322896172,0.0,107.88951742039131,32,bear_cross
EICHERMOT,27,2020-05-28,1515.78,2020-09-16,2149.6125,17113.477500000005,124.14641364008502,0.0,16989.33108635992,111,bear_cross
BANDHANBNK,268,2020-09-03,321.05062499999997,2020-09-22,274.3125,-12525.817499999992,193.77195364340497,0.0,-12719.589453643397,19,bear_cross
BPCL,393,2020-09-14,213.48237194061278,2020-09-22,201.0211814117432,-4897.247877845739,196.91811582063744,0.0,-5094.165993666376,8,bear_cross
TMPV,732,2020-08-04,113.23237194061281,2020-09-25,123.3907469558716,7435.93051116944,207.46006052144935,0.0,7228.47045064799,52,bear_cross
DABUR,170,2020-09-16,508.2675,2020-09-28,493.71263717651374,-2474.326679992662,205.00905630191554,0.0,-2679.3357362945776,12,bear_cross
BAJAJ-AUTO,19,2020-09-22,2991.6604510498046,2020-09-28,2969.4576525878906,-421.85317077636546,141.3641263465169,0.0,-563.2172971228824,6,bear_cross
IGL,83,2020-09-16,210.52499999999998,2020-09-30,195.01125000000002,-1287.6412499999965,52.87961258430249,116.19999999999999,-1224.320862584299,14,bear_cross
ESCORTS,69,2020-09-03,1221.0449999999998,2020-10-19,1175.8031250000001,-3121.68937499998,199.54663494149878,0.0,-3321.2360099414786,46,bear_cross
BIOCON,199,2020-09-07,422.0023872375489,2020-10-22,440.146875,3610.7530647277786,205.92213594966137,0.0,3404.8309287781176,45,bear_cross
MANAPPURAM,504,2020-10-05,166.76588111877442,2020-11-02,155.8094969558716,-5522.017618103022,196.6068834767001,0.0,-5718.624501579722,28,bear_cross
M&MFIN,606,2020-10-22,131.7786219406128,2020-11-02,123.09150152206422,-5264.394973640436,187.5473766867604,0.0,-5451.9423503271955,11,bear_cross
TCS,37,2020-09-04,2280.6875,2020-11-03,2597.4900000000002,11721.692500000008,215.241888104905,444.0,11950.450611895103,60,bear_cross
HCLTECH,113,2020-09-09,713.8802255249024,2020-11-03,825.9300000000001,12661.62451568604,207.94741527340733,678.0,13131.677100412633,55,bear_cross
TITAN,70,2020-10-05,1204.0024999999998,2020-11-03,1175.055,-2026.3249999999834,200.74542298915,0.0,-2227.0704229891335,29,bear_cross
WIPRO,584,2020-09-09,140.24974388122558,2020-11-04,168.57750000000001,16543.409573364268,214.72735125124984,0.0,16328.682222113017,56,bear_cross
ZYDUSLIFE,4,2020-09-22,398.89474388122557,2020-11-14,426.93,112.14102447509777,19.006199023332123,0.0,93.13482545176564,53,bear_cross
DABUR,164,2020-10-01,517.039375,2020-11-17,520.8945121765137,632.2424969482504,204.64761873927907,287.0,714.5948782089713,47,bear_cross
WIPRO,492,2020-11-05,174.4099436187744,2020-11-18,174.4378125,13.711489562995553,206.26465743886897,0.0,-192.5531678758734,13,bear_cross
ACC,59,2020-10-06,1426.7579510498047,2020-12-11,1638.5932012939454,12498.279764404304,215.5876148421417,0.0,12282.692149562163,66,bear_cross
HINDPETRO,676,2020-11-02,125.646669216156,2020-12-28,142.57600101470948,11444.228295822151,216.18149808357856,0.0,11228.046797738574,56,bear_cross
DIVISLAB,26,2020-11-05,3218.9271520996094,2021-01-19,3567.0600000000004,9051.454045410166,210.9292343684757,0.0,8840.52481104169,75,bear_cross
BIOCON,212,2020-11-19,423.2053688812256,2021-01-20,450.47100608825684,5780.315087890627,220.94563878216022,0.0,5559.369449108467,62,bear_cross
MUTHOOTFIN,80,2020-12-14,1175.9325,2021-01-21,1211.9625,2882.400000000016,227.6285180296,0.0,2654.771481970416,38,bear_cross
TATACONSUM,170,2020-11-03,499.0444877624512,2021-01-25,586.3304878234864,14838.620010375978,219.48130146480236,0.0,14619.138708911176,83,bear_cross
HINDUNILVR,39,2021-01-28,2373.8196520996094,2021-01-29,2309.3123474121094,-2515.7848828124993,218.70090513311544,0.0,-2734.485787945615,1,bear_cross
HDFCLIFE,142,2020-12-30,680.6975,2021-02-01,676.6042378234864,-581.2432290649278,229.78521801124867,0.0,-811.0284470761765,33,bear_cross
ITC,386,2021-01-19,213.33628620147704,2021-02-01,195.9436208724976,-6713.568816986061,191.58369144436725,0.0,-6905.1525084304285,13,bear_cross
RELIANCE,103,2021-01-21,963.2447579956055,2021-02-01,855.9675109863282,-11049.556441955561,224.6100889919257,0.0,-11274.166530947488,11,bear_cross
AUROPHARMA,102,2020-11-14,864.155,2021-02-04,919.4954878234864,5644.7297579956185,217.2992827330432,127.5,5554.930475262575,82,bear_cross
MARICO,227,2020-11-04,370.92499999999995,2021-02-09,412.46625,9429.863750000011,212.4517120131325,681.0,9898.412037986878,97,bear_cross
ZEEL,403,2021-02-03,245.61249999999998,2021-02-12,215.4101219558716,-12171.558351783737,222.92913218855944,0.0,-12394.487483972296,9,bear_cross
COALINDIA,646,2021-02-09,141.85375,2021-02-16,131.96925304412844,-6385.385033493025,212.59202296221412,0.0,-6597.977056455238,7,bear_cross
IOC,769,2021-02-04,68.7046661567688,2021-02-17,63.54075076103211,-3971.0509393215125,128.76587656913193,3845.0,-254.81681589064465,13,bear_cross
ITC,466,2021-02-03,213.8189351272583,2021-02-23,199.7856610107422,-6539.505738296508,230.2353081474859,2330.0,-4439.741046443994,20,bear_cross
RBLBANK,273,2021-02-17,258.2440061187744,2021-03-01,238.4025,-5416.731170425409,166.57126188474015,0.0,-5583.302432310149,12,bear_cross
LT,67,2020-10-19,901.2475,2021-03-05,1449.9659756469728,36764.13786834718,187.82145615844058,1206.0,37782.31641218874,137,bear_cross
