Date,S0_naive,S1_realfill,S2_realcost,S3_pit,PIT_BUY_HOLD,BENCHMARK_N100
2023-06-21,4500975.9846173525,4269193.705621324,2014837.7733407302,899309.9077440561,4367868.702788427,3528548.056722551
2023-06-22,4471010.702329755,4240471.116754136,2001319.952539949,892477.3633714975,4324993.125877932,3508813.6948482078
2023-06-23,4456326.69457829,4227400.1104980325,1995183.3388009353,888940.6123033823,4272835.687201914,3485016.9393190183
2023-06-26,4487673.832151532,4257812.053918443,2008190.4827700735,894123.7005602182,4298655.947431289,3491911.8166682837
2023-06-27,4514402.42101872,4283309.813073716,2019433.6265017455,902601.5785248394,4325647.409546993,3514092.4653980797
2023-06-28,4545601.444730878,4312002.287408433,2033146.2931582397,901258.9931649547,4358114.1621726835,3542151.702671462
2023-06-30,4560194.172178388,4326294.804101548,2039870.312597937,910263.8470467906,4395192.080700938,3579614.21522591
2023-07-03,4556540.911741376,4322692.321618638,2038263.4167239135,911680.7252816539,4408395.935243326,3602874.4457858643
2023-07-04,4572007.243955731,4335627.376306138,2043712.1166084423,922506.1036996227,4410643.303694207,3611595.3225814155
2023-07-05,4609316.157682538,4370548.008905015,2059853.967896284,934553.1951302867,4443281.695468776,3616691.8418966304
2023-07-06,4602207.7764264345,4363112.290246568,2056477.6583564891,934850.2847909313,4473795.726694597,3635238.7775199693
2023-07-07,4540246.681211591,4302537.023339829,2027953.0967109813,927672.464783607,4441561.451524794,3604774.4124856177
2023-07-10,4524823.711820722,4288522.986871324,2021400.4771125927,922556.1561288219,4428511.869934537,3606028.3179380046
2023-07-11,4556087.517850995,4316887.026971421,2034798.5864875927,922868.3023080211,4458730.36704279,3623860.640226723
2023-07-12,4563897.620908856,4323940.159753404,2038105.1581123485,920473.3871468883,4462109.263374731,3616353.9872364365
2023-07-13,4551960.991483808,4309947.431024156,2030456.2572929838,917843.9311893433,4435982.938052524,3618559.9410002325
2023-07-14,4561538.743955731,4319527.141137681,2035020.0667717436,924184.6620541641,4481095.2485410245,3647099.568946657
2023-07-17,4571861.303531595,4332333.441797412,2040422.5707405582,927633.2679196426,4505153.065957423,3671582.050586204
2023-07-18,4544404.7933387235,4302826.149683154,2025828.189944454,922252.057531459,4489441.2240109425,3675498.5005540634
2023-07-19,4562588.603519388,4321299.668298876,2033866.5805572222,924303.8265439102,4509852.692286103,3691363.129446238
2023-07-20,4577256.500949807,4334574.702631151,2039364.5237154658,931300.8599911758,4522403.008996361,3714764.8656441756
2023-07-21,4573629.899387307,4331290.882806933,2037871.0496554072,921961.5959225723,4495842.387206713,3675727.826992363
2023-07-24,4557019.151401468,4315706.19811455,2030574.6453585322,918357.698736293,4501236.5993809905,3664036.0565778245
2023-07-25,4639360.972324319,4392892.808710253,2066880.856173962,920744.9302121231,4528687.1432971405,3668974.5205541383
2023-07-26,4655400.917728372,4407060.947839892,2072459.1800191614,922439.9731235002,4552452.997553578,3686762.2602206646
